CRO;Wilayah;Nama Kebun;Luas TM Real (Ha)
CRO I;Aceh;Bintang Permata Alue Waki;69,57
CRO I;Aceh;Dharmasawita Nusantara;22,00
CRO I;Aceh;Global Sawit Semesta;346,20
CRO I;Aceh;Mestika Prima Lestari Indah;77,89
CRO I;Aceh;Perkebunan dan Pertanian Sumber Asih;155,07
CRO I;Aceh;Sisirau;60,54
CRO I;Aceh;Teunggulon Raya;15,51
CRO I;Aceh;Watu Gede Utama;510,39
CRO I;Sumut 1;Andalas Intiagro Lestari;1,59
CRO I;Sumut 1;Bakrie Sumatera Plantations/Bakrie group;0,00
CRO I;Sumut 1;Barumun Raya Padang Langkat;0,00
CRO I;Sumut 1;Grahadura Leidongprim/Bakrie Group;4.322,38
CRO I;Sumut 1;Gunung Bangau;0,00
CRO I;Sumut 1;Koperasi Produsen Maju Bersama;786,00
CRO I;Sumut 1;Paten Alam Lestari;0,00
CRO I;Sumut 1;Perkebunan Nusantara I (Eks PTPN II);0,00
CRO I;Sumut 1;Perkebunan Sumatera Utara;0,00
CRO I;Sumut 1;Sibuah Raya;233,62
CRO I;Sumut 1;Supra Matra Abadi;106,20
CRO I;Sumut 1;Syarikat Tandikat Adidaya;0,00
CRO I;Sumut 1;Anugerah Langkat Makmur;0,00
CRO I;Sumut 1;Anugerah Sawindo;44,46
CRO I;Sumut 1;Bandar Meriah*;0,00
CRO I;Sumut 1;Karimun Aromatics Co. Ltd;167,12
CRO I;Sumut 1;Karya Hevea Indonesia;264,84
CRO I;Sumut 1;Kembang Sepatu Alam Abadi;440,40
CRO I;Sumut 1;Perkebunan Inti Sawit Subur;0,00
CRO I;Sumut 1;Perkebunan Karetia;59,90
CRO I;Sumut 1;Perkebunanan Sungai Wang;71,73
CRO I;Sumut 1;Perusahaan Perkebunan & Dagangan Indah Pontjan (1);0,00
CRO I;Sumut 1;Perusahaan Perkebunan & Dagangan Indah Pontjan (2);0,00
CRO I;Sumut 1;Sawit Indah Abadi;0,00
CRO I;Sumut 1;Sekoci;0,00
CRO I;Sumut 1;Tondy Barumun Sejahtera;0,00
CRO I;Sumut 2;Bukit Harapan I;10.052,38
CRO I;Sumut 2;Bukit Harapan I Plasma;2.836,00
CRO I;Sumut 2;Wonorejo Perdana;2.783,48
CRO I;Sumut 2;Bukit Harapan II;9.292,19
CRO I;Sumut 2;Bukit Harapan II Plasma;2.835,75
CRO I;Sumut 2;Parsub;2.724,04
CRO I;Sumut 2;Parsub Plasma;1.910,37
CRO I;Sumut 2;Patogu Janji;128,34
CRO I;Sumut 2;Patogu Janji KSO;9.241,29
CRO I;Sumut 2;Patogu Janji Plasma;4.873,86
CRO II;Riau 1;Kencana Amal Tani (Kat) I;3.285,83
