CRO;Regional;Nama Kebun;Luas TM 
CRO 3;Riau 3;Agroraya Gematrans;0,00
CRO 3;Riau 3;Bumi Palma Lestari Persada;265,00
CRO 3;Riau 3;Guntung Hasrat Makmur;0,00
CRO 3;Riau 3;Indogreen Jaya Abadi;126,29
CRO 3;Riau 3;Krisna Kereta Kencana;0,00
CRO 3;Riau 3;Oscar Investama;0,00
CRO 3;Riau 3;Riau Sakti United Plantations;0,00
CRO 3;Riau 3;Riau Sawitindo Abadi;0,00
CRO 3;Riau 3;Riausakti Transmandiri;0,00
CRO 3;Riau 3;Setia Agrindo Mandiri;118,68
CRO 3;Riau 3;Sumatera Timur Indonesia;0,00
CRO 3;Riau 3;Th Indo Plantation;0,63
CRO 3;Riau 3;Agro Sarimas Indonesia;1.324,01
CRO 3;Riau 3;Agro Sarimas Indonesia (Plasma);0,00
CRO 3;Riau 3;Berlian Inti Mekar;67,01
CRO 3;Riau 3;Indrawan Perkasa;677,77
CRO 3;Riau 3;Inti Indosawit Subur;12,65
CRO 3;Riau 3;Kelompok Tani Jaya Mandiri (awalnya PT Andalas);398,99
CRO 3;Riau 3;Runggu Divisi I s.d IV (Koperasi Jasa Sawit Mulia);1.901,32
CRO 3;Riau 3;Sawit Inti Raya;0,00
CRO 3;Riau 3;Selantai Agro Lestari;328,49
CRO 3;Riau 3;Sumatera Makmur Lestari;0,00
CRO 3;Riau 3;Tani Subur Makmur;59,00
CRO 3;Riau 3;Tasma Puja Inhu;1.053,50
CRO 3;Riau 3;Toton/Kelompok Tani Sumber Makmur Bersama;304,20
CRO 3;Riau 3;Tri Hasta Palma;0,00
CRO 3;Riau 3;Tugu Palma Sumatera;250,00
CRO 3;Riau 3;Bagas Indah Perkasa;639,80
CRO 3;Riau 3;Bintang Riau Sejahtera;48,00
CRO 3;Riau 3;Buana Wira Lestari Mas;3,50
CRO 3;Riau 3;Jaguar Perkasa;0,00
CRO 3;Riau 3;Kharisma Riau Sentosa Prima;5,89
CRO 3;Riau 3;Mega Nusa Inti Sawit;6,59
CRO 3;Riau 3;Palm Lestari Makmur;91,72
CRO 3;Riau 3;Pasirmas Giri Raya;47,19
CRO 3;Riau 3;Prima Agro Sawitindo;1.473,47
CRO 3;Riau 3;Sinar Widita Pamarta;57,09
CRO 3;Riau 3;Sumber Sawindo Kencana;0,00
CRO 3;Riau 3;Teso Indah;313,64
CRO 3;Riau 3;Tunggal Perkasa Plantation;551,04
CRO 3;Riau 3;Adimulia Agrolestari Takeover Dari Blangkolam;132,00
CRO 3;Riau 3;Adimulia Agrolestari Takeover Dari Blangkolam 2;0,00
CRO 3;Riau 3;Agrita Sari Prima;0,00
CRO 3;Riau 3;Cakra Alam Sejati;66,60
CRO 3;Riau 3;CV Agro Sukses Abadi/CV Sawit Makmur Lestari;256,42
CRO 3;Riau 3;Eka Sari Lorena /Koperasi Segati Sejahtera Mandiri;53,95
CRO 3;Riau 3;Ganderah Hendana;132,00
CRO 3;Riau 3;Gatipura Mulya;247,54
CRO 3;Riau 3;Guna Dodos;6,00
CRO 3;Riau 3;Karya Panen Terus;0,00
CRO 3;Riau 3;Koperasi Serik Indah Mandiri (GUP);123,56
CRO 3;Riau 3;Merauke Tetap Jaya (Koperasi Guna Karya Sejahtera);338,90
CRO 3;Riau 3;Mitra Unggul Pusaka;306,00
CRO 3;Riau 3;Mustika Agro Sari;99,45
CRO 3;Riau 3;Rimba Sawit Kusuma;46,44
CRO 3;Riau 3;Sandria Sukses Bersama;165,79
CRO 3;Riau 3;Sari Lembah Subur;30,30
CRO 3;Riau 3;Serikat Putra/Salim;150,00
CRO 3;Riau 3;Sinar Haska Lestari;83,00
CRO 3;Riau 3;Surya Agrolika Reksa I;220,85
CRO 3;Riau 3;Tri Bakti Sarimas;495,55
CRO 3;Riau 3;Triomas FDI;16,80
CRO 3;Riau 3;Udaya Lohjinawi (Sadria Sukses Bersama);71,00
CRO 3;Riau 3;Victorindo Alam Lestari/Permata Hijau Indonesia;20,00
CRO 3;Riau 3;Wanasari Nusantara;0,00
;;;13.187,62
;;;
