CRO / Wilayah,Regional,Tgl 1,Tgl 2,Tgl 3,Tgl 4,Tgl 5,Tgl 6,Tgl 7,Tgl 8,Tgl 9,Tgl 10,Tgl 11,Tgl 12,Tgl 13,Tgl 14,Tgl 15,Tgl 16,Tgl 17,Tgl 18,Tgl 19,Tgl 20,Tgl 21,Tgl 22,Tgl 23,Tgl 24,Tgl 25,Tgl 26,Tgl 27,Tgl 28,Tgl 29,Tgl 30,Tgl 31,Total Target (Ton)
CRO I,Aceh,18,10,18,18,18,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118
CRO I,Sumut 1,110,55,110,110,110,110,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,715
CRO I,Sumut 2,1393,600,1393,1393,1393,1393,1393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8958
CRO I,Subtotal CRO I,1521,665,1521,1521,1521,1521,1521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9791
CRO II,Riau 1,6052,3000,6052,6052,6052,6052,6052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39312
CRO II,Subtotal CRO II,6052,3000,6052,6052,6052,6052,6052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39312
CRO III,Riau 2,1613,700,1613,1613,1613,1613,1613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10378
CRO III,Riau 3,147,75,147,147,147,147,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,957
CRO III,Subtotal CRO III,1760,775,1760,1760,1760,1760,1760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11335
CRO IV,Riau 4,807,400,807,807,807,807,807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5242
CRO IV,Subtotal CRO IV,807,400,807,807,807,807,807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5242
CRO V,Babel,37,20,37,37,37,37,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242
