CRO / Wilayah,Regional,Tgl 1,Tgl 2,Tgl 3,Tgl 4,Tgl 5,Tgl 6,Tgl 7,Tgl 8,Tgl 9,Tgl 10,Tgl 11,Tgl 12,Tgl 13,Tgl 14,Tgl 15,Tgl 16,Tgl 17,Tgl 18,Tgl 19,Tgl 20,Tgl 21,Tgl 22,Tgl 23,Tgl 24,Tgl 25,Tgl 26,Tgl 27,Tgl 28,Tgl 29,Tgl 30,Tgl 31,Total Target (Ton)
CRO I,Sumut 1,80,80,80,80,40,80,80,90,90,90,90,45,90,90,100,100,100,100,50,100,100,110,110,110,110,55,110,110,110,110,110,2800
CRO I,Sumut 2,1020,1020,1020,1020,510,1020,1020,1240,1240,1240,1240,620,1240,1240,1360,1360,1360,1360,680,1360,1360,1580,1580,1580,1580,790,1580,1580,1580,1580,1580,38540
CRO I,Aceh,10,10,10,10,5,10,10,10,10,10,10,5,10,10,20,20,20,20,10,20,20,20,20,20,20,10,20,20,20,20,20,450
CRO I,Subtotal CRO I,1110,1110,1110,1110,555,1110,1110,1340,1340,1340,1340,670,1340,1340,1480,1480,1480,1480,740,1480,1480,1710,1710,1710,1710,855,1710,1710,1710,1710,1710,41790
CRO II,Riau 1,5650,5650,5650,5650,2825,5650,5650,5880,5880,5880,5880,2940,5880,5880,6050,6050,6050,6050,3025,6050,6050,6270,6270,6270,6270,3135,6270,6270,6270,6270,6270,173835
CRO II,Subtotal CRO II,5650,5650,5650,5650,2825,5650,5650,5880,5880,5880,5880,2940,5880,5880,6050,6050,6050,6050,3025,6050,6050,6270,6270,6270,6270,3135,6270,6270,6270,6270,6270,173835
CRO III,Riau 2,1130,1130,1130,1130,565,1130,1130,1240,1240,1240,1240,620,1240,1240,1360,1360,1360,1360,680,1360,1360,1470,1470,1470,1470,735,1470,1470,1470,1470,1470,38210
CRO III,Riau 3,80,80,80,80,40,80,80,100,100,100,100,50,100,100,110,110,110,110,55,110,110,170,170,170,170,85,170,170,170,170,170,3500
CRO III,Subtotal CRO III,1210,1210,1210,1210,605,1210,1210,1340,1340,1340,1340,670,1340,1340,1470,1470,1470,1470,735,1470,1470,1640,1640,1640,1640,820,1640,1640,1640,1640,1640,41710
CRO IV,Riau 4,450,450,450,450,225,450,450,510,510,510,510,255,510,510,680,680,680,680,340,680,680,900,900,900,900,450,900,900,900,900,900,19210
CRO IV,Subtotal CRO IV,450,450,450,450,225,450,450,510,510,510,510,255,510,510,680,680,680,680,340,680,680,900,900,900,900,450,900,900,900,900,900,19210
CRO V,Jambi,10,10,10,10,5,10,10,10,10,10,10,5,10,10,20,20,20,20,10,20,20,20,20,20,20,10,20,20,20,20,20,450
CRO V,Sumbar,170,170,170,170,85,170,170,190,190,190,190,95,190,190,200,200,200,200,100,200,200,260,260,260,260,130,260,260,260,260,260,6110
CRO V,Sumsel,80,80,80,80,40,80,80,90,90,90,90,45,90,90,90,90,90,90,45,90,90,110,110,110,110,55,110,110,110,110,110,2735
CRO V,Babel,30,30,30,30,15,30,30,30,30,30,30,15,30,30,30,30,30,30,15,30,30,40,40,40,40,20,40,40,40,40,40,965
CRO V,Subtotal CRO V,290,290,290,290,145,290,290,320,320,320,320,160,320,320,340,340,340,340,170,340,340,430,430,430,430,215,430,430,430,430,430,10260
CRO VI,Kalbar 1A,3160,3160,3160,3160,1580,3160,3160,3280,3280,3280,3280,1640,3280,3280,3500,3500,3500,3500,1750,3500,3500,3670,3670,3670,3670,1835,3670,3670,3670,3670,3670,99475
CRO VI,Kalbar 1B,3160,3160,3160,3160,1580,3160,3160,3280,3280,3280,3280,1640,3280,3280,3500,3500,3500,3500,1750,3500,3500,3670,3670,3670,3670,1835,3670,3670,3670,3670,3670,99475
CRO VI,Kalbar 2,80,80,80,80,40,80,80,90,90,90,90,45,90,90,110,110,110,110,55,110,110,140,140,140,140,70,140,140,140,140,140,3150
CRO VI,Subtotal CRO VI,6400,6400,6400,6400,3200,6400,6400,6650,6650,6650,6650,3325,6650,6650,7110,7110,7110,7110,3555,7110,7110,7480,7480,7480,7480,3740,7480,7480,7480,7480,7480,202100
